Phrase ^ Count
and the  ^ 717
whither thou  ^ 12
and moses spoke  ^ 12
for the day  ^ 12
what the  ^ 12
mother, and  ^ 12
moses and aaron  ^ 12
which is upon  ^ 12
unto him, if  ^ 12
and five hundred.  ^ 12
and by the border  ^ 12
and four hundred.  ^ 12
hundred twenty  ^ 12
the son of aaron  ^ 12
are the  ^ 12
the two  ^ 12
to his  ^ 12
and joseph said  ^ 12
his hand upon  ^ 12
and all the days  ^ 12
god of hosts,  ^ 12
blessed is the man  ^ 12
unto jeremiah,  ^ 12
answered them,  ^ 12
him that  ^ 12
said unto her,  ^ 12
the house,  ^ 12
and again  ^ 12
and pharisees,  ^ 12
and he spake  ^ 12
of their fathers, according to the number  ^ 12
according to the number of the names,  ^ 12
that were able to go forth to war;  ^ 12
to war; those that were numbered  ^ 12
those that were numbered of them, even of the tribe  ^ 12
and his host, and those that were numbered  ^ 12
the continual burnt offering,  ^ 12
silver bowl  ^ 12
bowl of seventy  ^ 12
of seventy shekels,  ^ 12
after the shekel of the sanctuary;  ^ 12
of the sanctuary; both  ^ 12
with oil for a meat offering:  ^ 12
for a meat offering: one  ^ 12
of incense: one  ^ 12
year, for a burnt offering:  ^ 12
ram, one  ^ 12
lamb of the first  ^ 12
for a burnt offering: one  ^ 12
of the goats for a sin offering:  ^ 12
for a sin offering: and for a sacrifice  ^ 12
five lambs  ^ 12
year: this  ^ 12
this was the offering  ^ 12
and for a sacrifice of peace offerings,  ^ 12
of peace offerings, two  ^ 12
two oxen,  ^ 12
oxen, five  ^ 12
five rams,  ^ 12
rams, five  ^ 12
five he goats,  ^ 12
he goats, five  ^ 12
the third part  ^ 12
were sealed twelve  ^ 12
of israel that  ^ 11
and the lord thy god  ^ 11
thousand and seven  ^ 11
tribe of manasseh,  ^ 11
to this  ^ 11
messengers to  ^ 11
sons and daughters.  ^ 11
which he commanded  ^ 11
saying, why  ^ 11
and benaiah the son  ^ 11
and seven thousand  ^ 11
prince of the children  ^ 11
with this  ^ 11
his course were twenty  ^ 11
because thou  ^ 11
seven years  ^ 11
and the children of gad  ^ 11
and she called his name  ^ 11
the house of god,  ^ 11
of you,  ^ 11
of god is  ^ 11
say unto you,  ^ 11
himself, and  ^ 11
the holy ghost.  ^ 11
have not  ^ 11
spirit, and  ^ 11
you with  ^ 11
by him  ^ 11
you all  ^ 11
by his  ^ 11
the holy ghost  ^ 11
for they are  ^ 11
with god.  ^ 11
for we are  ^ 11
for though  ^ 11
for even  ^ 11
which are  ^ 11
god in  ^ 11
but this  ^ 11
in heaven  ^ 11
of him,  ^ 11
do not  ^ 11
the light,  ^ 11
the truth  ^ 11
the father.  ^ 11
it, and  ^ 11
the son,  ^ 11
the promise  ^ 11
and whatsoever  ^ 11
for his  ^ 11
how can  ^ 11
that ye may know  ^ 11
of the son  ^ 11
the word,  ^ 11
word, and  ^ 11
talked with  ^ 11
and all the vessels  ^ 11
this thing,  ^ 11
every male  ^ 11
men with  ^ 11
of nebat, who  ^ 11
and unto all  ^ 11
that day:  ^ 11
the tribes of israel,  ^ 11
king of egypt  ^ 11
in the sight of the lord  ^ 11
with whom  ^ 11
and said, o lord  ^ 11
forty days  ^ 11
king solomon  ^ 11
and it came to pass at the end  ^ 11
unto his servants,  ^ 11
the spirit of the lord  ^ 11
the king of israel  ^ 11
in the fourth year  ^ 11
king of the amorites,  ^ 11
the same day  ^ 11
god and  ^ 11
to whom  ^ 11
through jesus  ^ 11
unto his  ^ 11
unto the lord.  ^ 11
seven days,  ^ 11
with god  ^ 11
spoke to  ^ 11
and it came to pass on the morrow,  ^ 11
the hand of the lord  ^ 11
that the children  ^ 11
the lord. and the lord  ^ 11
even unto this  ^ 11
who also  ^ 11
faith, and  ^ 11
the mystery  ^ 11
pursued after  ^ 11
the fear of the lord  ^ 11
a great multitude  ^ 11
of judah, saying,  ^ 11
and went into  ^ 11
their hands upon  ^ 11
jeremiah the prophet  ^ 11
you into  ^ 11
christ, the  ^ 11
of the jews  ^ 11
to the lord,  ^ 11
that if  ^ 11
for many  ^ 11
come down from  ^ 11
unto them, if  ^ 11
this land,  ^ 11
again unto  ^ 11
of nebuchadnezzar king  ^ 11
into all  ^ 11
saying, when  ^ 11
unto them, ye  ^ 11
all men  ^ 11
thing that  ^ 11
eight hundred  ^ 11
the faith  ^ 11
for he is  ^ 11
at that  ^ 11
it is not  ^ 11
to him,  ^ 11
and go  ^ 11
then peter  ^ 11
and certain  ^ 11
from the dead.  ^ 11
him unto  ^ 11
the sun  ^ 11
the next  ^ 11
and they came  ^ 11
after these things  ^ 11
his wife  ^ 11
all, and  ^ 11
the resurrection  ^ 11
whom ye  ^ 11
i speak  ^ 11
pharisees and  ^ 11
and, lo,  ^ 11
the ship,  ^ 11
his feet  ^ 11
his wife,  ^ 11
those days,  ^ 11
or what  ^ 11
upon the mountains  ^ 11
the day of the lord  ^ 11
upon every  ^ 11
and say  ^ 11
because i  ^ 11
which is called  ^ 11
which i swore  ^ 11
of shittim wood,  ^ 11
the word which  ^ 11
amen. cursed  ^ 11
the people shall say,  ^ 11
shall say, amen.  ^ 11
which he swore  ^ 11
and pharaoh said  ^ 11
and five hundred  ^ 11
moses and unto  ^ 11
aaron, saying,  ^ 11
of the house of israel,  ^ 11
for every one  ^ 11
of israel; behold,  ^ 11
shall no more  ^ 11
side unto  ^ 11
unto the west  ^ 11
one gate  ^ 11
unto him, thou  ^ 11
over the  ^ 11
the son of ahikam  ^ 11
and when jesus  ^ 11
unto him, master,  ^ 11
jesus answered,  ^ 11
simon peter  ^ 11
disciples came  ^ 11
and joshua said  ^ 11
eleazar the priest,  ^ 11
with her suburbs;  ^ 11
and the priest shall burn  ^ 11
two young  ^ 11
and bathe himself in water,  ^ 11
no servile  ^ 11
and give  ^ 11
for i say  ^ 11
after him repaired  ^ 11
of the names, from twenty  ^ 11
by their generations, after their families,  ^ 11
beside the continual  ^ 11
was one silver  ^ 11
and thirty shekels , one  ^ 11
shekels , one silver  ^ 11
spoon of ten  ^ 11
both of them full  ^ 11
of them full of fine flour  ^ 11
of ten shekels , full  ^ 11
shekels , full of incense:  ^ 11
the son of jehoiada,  ^ 10
behold, he  ^ 10
the son of zeruiah  ^ 10
four thousand  ^ 10
and six hundred.  ^ 10
twenty and two  ^ 10
three days,  ^ 10
the land of israel,  ^ 10
whose name  ^ 10
as god  ^ 10
for great  ^ 10
before the tabernacle  ^ 10
and said, who  ^ 10
whom god  ^ 10
reigned over  ^ 10
after this,  ^ 10
the children of ammon  ^ 10
all the princes  ^ 10
and six thousand  ^ 10
year of the reign  ^ 10
and the half tribe  ^ 10
and in his course  ^ 10
over israel.  ^ 10
king of assyria  ^ 10
the son of hilkiah,  ^ 10
of the house of god.  ^ 10
the book of the kings  ^ 10
with them.  ^ 10
of the world  ^ 10
our father,  ^ 10
by jesus  ^ 10
jesus christ:  ^ 10
under the  ^ 10
that, if  ^ 10
the new  ^ 10
man is  ^ 10
that no man  ^ 10
of god. but  ^ 10
him, that  ^ 10
the dead  ^ 10
concerning the  ^ 10
let no man  ^ 10
christ be with  ^ 10
be with you  ^ 10
with me.  ^ 10
i will not  ^ 10
of this world  ^ 10
son, and  ^ 10
or in  ^ 10
me is  ^ 10
that one  ^ 10
and unto the  ^ 10
him. for  ^ 10
wife, and  ^ 10
the brethren,  ^ 10
or who  ^ 10
knoweth not  ^ 10
you: but  ^ 10
which ye  ^ 10
according to his  ^ 10
the king, and said,  ^ 10
said, if  ^ 10
did evil  ^ 10
to fight against  ^ 10
of this people  ^ 10
came and told  ^ 10
this people.  ^ 10
every high  ^ 10
days and forty  ^ 10
do so  ^ 10
not after  ^ 10
saith the king,  ^ 10
of the city,  ^ 10
the voice of the lord,  ^ 10
give me  ^ 10
that it  ^ 10
the son of ahab  ^ 10
that his father  ^ 10
as it is this day.  ^ 10
three thousand  ^ 10
of the house  ^ 10
then hear thou  ^ 10
house, which  ^ 10
in the day  ^ 10
in the flesh,  ^ 10
what shall i do  ^ 10
the commandment of the lord,  ^ 10
now therefore  ^ 10
the lord will not  ^ 10
then came the word  ^ 10
the lord hath said  ^ 10
messengers unto  ^ 10
said, i  ^ 10
of the lord of hosts,  ^ 10
at the door of the tabernacle  ^ 10
before the king  ^ 10
words unto  ^ 10
which is before  ^ 10
on the third day,  ^ 10
forty years.  ^ 10
amen. paul,  ^ 10
the wrath  ^ 10
of god and  ^ 10
is come upon  ^ 10
before god,  ^ 10
for when  ^ 10
our father  ^ 10
the gift  ^ 10
the tabernacle of the congregation  ^ 10
of israel came  ^ 10
for three  ^ 10
against jerusalem,  ^ 10
and all judah  ^ 10
this is the thing  ^ 10
and the lord delivered  ^ 10
and he did that which was right  ^ 10
the son of joash  ^ 10
of the lord, according to all  ^ 10
not into  ^ 10
they could not  ^ 10
is this  ^ 10
the men that  ^ 10
the son of shaphan,  ^ 10
you: for  ^ 10
me this  ^ 10
heaven. and  ^ 10
for my  ^ 10
where the  ^ 10
the lord.  ^ 10
and unto  ^ 10
of the lord said  ^ 10
the king of assyria  ^ 10
behold, i will send  ^ 10
went unto  ^ 10
not hearken  ^ 10
cried with a loud  ^ 10
the lord had commanded  ^ 10
death, and  ^ 10
more than  ^ 10
but after  ^ 10
from jerusalem  ^ 10
men and brethren,  ^ 10
many days  ^ 10
out of their  ^ 10
and a certain  ^ 10
and there came  ^ 10
of the jews,  ^ 10
house, and  ^ 10
ye know  ^ 10
saying unto him,  ^ 10
and thou  ^ 10
the land  ^ 10
and he commanded  ^ 10
some of  ^ 10
the door  ^ 10
follow me.  ^ 10
the synagogue  ^ 10
it. and  ^ 10
not worthy  ^ 10
thee. and  ^ 10
disciples. and  ^ 10
of the pharisees  ^ 10
them into  ^ 10
that his  ^ 10
far from  ^ 10
lord said  ^ 10
peter said  ^ 10
and began  ^ 10
the chief captain  ^ 10
unto me,  ^ 10
who art  ^ 10
the wind  ^ 10
the beast  ^ 10
the kings  ^ 10
and put  ^ 10
feet, and  ^ 10
word of god,  ^ 10
throne, and  ^ 10
of israel, saith  ^ 10
then said the lord  ^ 10
upon the earth  ^ 10
the beasts of the field  ^ 10
meshach, and abed-nego,  ^ 10
by the river  ^ 10
that floweth with milk  ^ 10
command thee this day,  ^ 10
is the thing which  ^ 10
out of the land of egypt.  ^ 10
or if  ^ 10
other gods  ^ 10
i give  ^ 10
shall be upon  ^ 10
thy father  ^ 10
the blood upon  ^ 10
unto his brethren,  ^ 10
sockets under  ^ 10
for a sweet savor  ^ 10
this shall be  ^ 10
and unto aaron,  ^ 10
mine hand upon  ^ 10
my people, and i  ^ 10
the souls that  ^ 10
and five thousand  ^ 10
and in that day  ^ 10
that shall not  ^ 10
all the day  ^ 10
unto jeremiah  ^ 10
jeremiah, saying,  ^ 10
the son of kareah,  ^ 10
the angels  ^ 10
saith unto her,  ^ 10
his lord  ^ 10
his mother  ^ 10
this is the inheritance  ^ 10
unto the angel  ^ 10
or two  ^ 10
himself in water, and be unclean  ^ 10
 he  ^ 10
but woe  ^ 10
in heaven:  ^ 10
john the  ^ 10
prophet, saying,  ^ 10
the bridegroom  ^ 10
and next unto  ^ 10
hundred. of the children  ^ 10
unto balaam,  ^ 10
his offering was one  ^ 10
one golden  ^ 10
golden spoon  ^ 10
a song of degrees.  ^ 10
that saul  ^ 9
made a covenant  ^ 9
the children of judah  ^ 9
gathered all  ^ 9
before god  ^ 9
of that place  ^ 9
and david took  ^ 9
of the covenant of the lord,  ^ 9
of god. then  ^ 9
and the people that  ^ 9
or three  ^ 9
for i will not  ^ 9
of the lord thy god.  ^ 9
to build a house  ^ 9
the son of ner,  ^ 9
on this side jordan  ^ 9
the lord hath given  ^ 9
first and last,  ^ 9
ten thousand  ^ 9
with the king  ^ 9
the wisdom  ^ 9
the testimony  ^ 9
our fathers  ^ 9
the churches  ^ 9
but for  ^ 9
the church,  ^ 9
for by  ^ 9
not one  ^ 9
every one  ^ 9
i have no  ^ 9
much more  ^ 9
are all  ^ 9
but rather  ^ 9
now if  ^ 9
your faith  ^ 9
yea, and  ^ 9
not. for  ^ 9
he must  ^ 9
body, and  ^ 9
the saying  ^ 9
the work  ^ 9
am not  ^ 9
as i  ^ 9
came not  ^ 9
world, but  ^ 9
that a man  ^ 9
we also  ^ 9
you. for  ^ 9
lord jesus.  ^ 9
brother, and  ^ 9
and heard  ^ 9
and do  ^ 9
there is none  ^ 9
is of  ^ 9
ye know not  ^ 9
his brother,  ^ 9
children of the  ^ 9
and love  ^ 9
in us,  ^ 9
of god:  ^ 9
god: and  ^ 9
we are  ^ 9
he that believeth on  ^ 9
of god, that  ^ 9
and now, behold,  ^ 9
my lord the king,  ^ 9
the sound of the trumpet,  ^ 9
the men of judah  ^ 9
that was  ^ 9
and they brought  ^ 9
hid from  ^ 9
thy god, which  ^ 9
and it shall be, if  ^ 9
with the lord  ^ 9
in the house of the lord  ^ 9
came from  ^ 9
the face of the earth.  ^ 9
i will bring evil  ^ 9
and under every  ^ 9
war between  ^ 9
with his fathers  ^ 9
of the king's house,  ^ 9
three years  ^ 9
of asa king  ^ 9
in the second year  ^ 9
and called the name  ^ 9
joshua the son  ^ 9
went up to  ^ 9
which have not  ^ 9
this word  ^ 9
in all that  ^ 9
my lord the king  ^ 9
saying, arise,  ^ 9
what the lord  ^ 9
and said, i  ^ 9
of israel said,  ^ 9
this thing.  ^ 9
and five cubits  ^ 9
the glory of the lord  ^ 9
the tribes of israel  ^ 9
toward this  ^ 9
this place.  ^ 9
them the  ^ 9
is called by  ^ 9
man that  ^ 9
voice, saying,  ^ 9
upon them  ^ 9
gave him  ^ 9
him for  ^ 9
forever and ever. amen.  ^ 9
sat upon  ^ 9
what is this  ^ 9
two men  ^ 9
to the people,  ^ 9
fear not:  ^ 9
moses and aaron,  ^ 9
unto the lord:  ^ 9
for the people  ^ 9
the way which  ^ 9
now therefore, i pray thee,  ^ 9
stand before  ^ 9
the men of israel,  ^ 9
and went to  ^ 9
i send  ^ 9
behold, this  ^ 9
is not this  ^ 9
a very great  ^ 9
for they said,  ^ 9
of the god of israel  ^ 9
and all the house  ^ 9
ghost, and  ^ 9
them to  ^ 9
you the  ^ 9
night and  ^ 9
which are in  ^ 9
is in christ  ^ 9
this, that  ^ 9
and said, lord,  ^ 9
upon the mountains,  ^ 9
king of syria  ^ 9
forty years  ^ 9
five and twenty  ^ 9
and all the people,  ^ 9
of blue, and purple,  ^ 9
this place  ^ 9
of israel, because  ^ 9
us in  ^ 9
behold the  ^ 9
of men. and  ^ 9
and he spoke unto  ^ 9
in the sight of the lord:  ^ 9
moses. and the lord  ^ 9
power and  ^ 9
all things that  ^ 9
where is  ^ 9
not thou  ^ 9
grace in thy sight,  ^ 9
when he was come  ^ 9
when they were come  ^ 9
no more,  ^ 9
god of hosts  ^ 9
also of  ^ 9
moses, so  ^ 9
came and  ^ 9
peter, and  ^ 9
john, and  ^ 9
for he was  ^ 9
jews, and  ^ 9
to all the  ^ 9
days. and  ^ 9
apostles and  ^ 9
preaching the  ^ 9
of the church  ^ 9
that time  ^ 9
james the  ^ 9
he saith unto him,  ^ 9
from them  ^ 9
the synagogue,  ^ 9
many of the  ^ 9
and they had  ^ 9
on him,  ^ 9
and there  ^ 9
elders, and  ^ 9
us. and  ^ 9
to him  ^ 9
and others  ^ 9
of your  ^ 9
from them,  ^ 9
on my  ^ 9
my right hand,  ^ 9
at jerusalem  ^ 9
besought him  ^ 9
took the  ^ 9
hands on  ^ 9
the wilderness  ^ 9
whom also  ^ 9
they that were with  ^ 9
the council,  ^ 9
hand, and  ^ 9
the one  ^ 9
him of  ^ 9
in me.  ^ 9
unto abraham,  ^ 9
the great  ^ 9
the way,  ^ 9
i will not turn away  ^ 9
from the earth,  ^ 9
in heaven.  ^ 9
of the amorites, which  ^ 9
the land that  ^ 9
in the land of egypt.  ^ 9
to heaven,  ^ 9
upon the children  ^ 9
upon for  ^ 9
no more.  ^ 9
of the lord appeared  ^ 9
commanded moses,  ^ 9
and he called the name  ^ 9
beware of  ^ 9
and aaron and his sons  ^ 9
and the two kidneys,  ^ 9
ye say,  ^ 9
and these are the names  ^ 9
i say  ^ 9
i am the lord:  ^ 9
my covenant with  ^ 9
of man, set  ^ 9
set thy face  ^ 9
hundred forty  ^ 9
the son of shealtiel,  ^ 9
me. then  ^ 9
the flesh  ^ 9
and god saw  ^ 9
in the land of canaan,  ^ 9
from this  ^ 9
sons and daughters:  ^ 9
and daughters: and all  ^ 9
years: and he died.  ^ 9
not, but  ^ 9
how much more  ^ 9
he took the  ^ 9
the book,  ^ 9
thy faith  ^ 9
of jehoiakim the son  ^ 9
the son of nethaniah  ^ 9
his parable, and said,  ^ 9
the lamb  ^ 9
followed him,  ^ 9
come out of  ^ 9
believed on  ^ 9
glory, and  ^ 9
his mother,  ^ 9
saith unto the  ^ 9
the sepulcher,  ^ 9
they say unto him,  ^ 9
unto his disciples,  ^ 9
your father  ^ 9
cities with their villages:  ^ 9
cities with their villages.  ^ 9
and make an atonement for  ^ 9
of the tabernacle of the congregation:  ^ 9
shall wash his clothes,  ^ 9
thou shalt not uncover  ^ 9
but i say  ^ 9
if thy  ^ 9
publicans and  ^ 9
and he called  ^ 9
on earth  ^ 9
of their  ^ 9
that it might be fulfilled  ^ 9
is in heaven.  ^ 9
kingdom of heaven.  ^ 9
from a month old  ^ 9
unto balak,  ^ 9
for a sin offering; beside  ^ 9
old and upward  ^ 9
silver charger,  ^ 9
charger, the weight  ^ 9
bless the lord,  ^ 9
ye the lord. praise  ^ 9
third part of the  ^ 9
angel of the  ^ 9
the name of the one  ^ 8
not drink  ^ 8
over my people  ^ 8
of the lord by  ^ 8
the son of zeruiah,  ^ 8
went out to meet  ^ 8
tribe of manasseh  ^ 8
a hundred and twenty  ^ 8
unto david  ^ 8
day, saying,  ^ 8
the congregation of israel,  ^ 8
the name of that  ^ 8
and of the sons  ^ 8
king david  ^ 8
the ark of the lord,  ^ 8
he shall build  ^ 8
do all  ^ 8
for thou,  ^ 8
for i have not  ^ 8
the son of ahitub,  ^ 8
the son of jehoiada  ^ 8
had no  ^ 8
and there was war  ^ 8
lifted up his eyes,  ^ 8
men that drew  ^ 8
to me, saying,  ^ 8
none other  ^ 8
lord god  ^ 8
god of abraham,  ^ 8
god of their fathers,  ^ 8
and these are the sons  ^ 8
king of israel.  ^ 8
of the tabernacle of the congregation  ^ 8
that moses  ^ 8
and he called his name  ^ 8
hundred and fifty  ^ 8
name. and  ^ 8
christ jesus,  ^ 8
name of jesus  ^ 8
not many  ^ 8
of the world,  ^ 8
that no  ^ 8
peace, from  ^ 8
by him,  ^ 8
our lord.  ^ 8
the sea;  ^ 8
 if  ^ 8
if any  ^ 8
the man,  ^ 8
brethren, that  ^ 8
jesus the  ^ 8
blood of the  ^ 8
of the lord.  ^ 8
the man.  ^ 8
one, and  ^ 8
whole body  ^ 8
and there are  ^ 8
but my  ^ 8
with my  ^ 8
as in  ^ 8
came the  ^ 8
of god which  ^ 8
but some  ^ 8
third day  ^ 8
from heaven.  ^ 8
of all the  ^ 8
of the lord, as  ^ 8
that it is  ^ 8
if it be  ^ 8
for one  ^ 8
ye are not  ^ 8
the saints  ^ 8
abide in  ^ 8
and likewise  ^ 8
for whom  ^ 8
the fruit  ^ 8
is no  ^ 8
walk in  ^ 8
flesh, and  ^ 8
not all  ^ 8
and now,  ^ 8
that, when  ^ 8
the true  ^ 8
and sent  ^ 8
if god  ^ 8
of the world.  ^ 8
son of god,  ^ 8
in the flesh  ^ 8
are of  ^ 8
god gave  ^ 8
son of god.  ^ 8
unto death,  ^ 8
not; but  ^ 8
not by  ^ 8
my lord, o king,  ^ 8
the king, saying,  ^ 8
the king. and the king  ^ 8
and brought him to  ^ 8
saying, god  ^ 8
and he also  ^ 8
and four hundred  ^ 8
thousand chosen  ^ 8
the house of judah  ^ 8
which were  ^ 8
the words which  ^ 8
and against all  ^ 8
and the man of god  ^ 8
a king over  ^ 8
which solomon  ^ 8
took all  ^ 8
year of asa  ^ 8
conspired against  ^ 8
he spoke by  ^ 8
to reign over  ^ 8
the days of his life.  ^ 8
before whom  ^ 8
and elijah said  ^ 8
these things  ^ 8
unto him, and said,  ^ 8
of the house of israel  ^ 8
in the sight of the lord.  ^ 8
that have not  ^ 8
and all the cities  ^ 8
david my father  ^ 8
thou hast made  ^ 8
thousand and three  ^ 8
against all  ^ 8
of the house of the lord  ^ 8
of israel. and the lord  ^ 8
whose heart  ^ 8
of the lord: for  ^ 8
that was before  ^ 8
the lord made  ^ 8
that i have commanded  ^ 8
them all  ^ 8
the lord their god,  ^ 8
an apostle of jesus  ^ 8
from heaven;  ^ 8
for us,  ^ 8
in all things  ^ 8
that are in  ^ 8
and the name of the other  ^ 8
of israel, thus  ^ 8
and the spirit of the lord  ^ 8
thee what  ^ 8
unto samuel,  ^ 8
and the lord sent  ^ 8
but if ye will not  ^ 8
pray for  ^ 8
of israel: for  ^ 8
were with  ^ 8
of god was  ^ 8
and ten thousand  ^ 8
who is this  ^ 8
that was upon  ^ 8
upon him  ^ 8
to the place  ^ 8
i have found grace  ^ 8
was come to  ^ 8
for thy servant  ^ 8
when he  ^ 8
shall not be  ^ 8
were come to  ^ 8
and said, behold  ^ 8
men that  ^ 8
not the voice  ^ 8
that was with  ^ 8
went out of  ^ 8
the words of the lord  ^ 8
nor of  ^ 8
coming of the  ^ 8
for ye know  ^ 8
god, which  ^ 8
in me  ^ 8
in the spirit,  ^ 8
know not  ^ 8
faith in  ^ 8
for therefore  ^ 8
this was  ^ 8
the lord, which  ^ 8
unto the lord god  ^ 8
and thirtieth year  ^ 8
be upon  ^ 8
with a loud voice  ^ 8
on all  ^ 8
unto the day  ^ 8
unto other gods,  ^ 8
day of the month  ^ 8
into the house of the lord.  ^ 8
that is with  ^ 8
of the lord that  ^ 8
the lord. behold,  ^ 8
all the kings  ^ 8
king of persia,  ^ 8
me. for  ^ 8
knoweth that  ^ 8
with you.  ^ 8
all. amen.  ^ 8
into the hands  ^ 8
he departed not  ^ 8
thine hand upon  ^ 8
the heathen that  ^ 8
they know not  ^ 8
unto him all  ^ 8
to the lord  ^ 8
the son of nethaniah,  ^ 8
the men of war  ^ 8
is with  ^ 8
ye shall not see  ^ 8
unto his father,  ^ 8
he and all  ^ 8
upon the land  ^ 8
unto the woman,  ^ 8
the heavens  ^ 8
the house of israel;  ^ 8
from the children  ^ 8
return to  ^ 8
and looked, and, behold,  ^ 8
whither i  ^ 8
go in unto  ^ 8
for he said,  ^ 8
whom thou  ^ 8
day that  ^ 8
thee all  ^ 8
saints, and  ^ 8
your hearts,  ^ 8
first, and  ^ 8
and into  ^ 8
honor, and  ^ 8
from the dead  ^ 8
and simon  ^ 8
and judas  ^ 8
of the earth.  ^ 8
again into  ^ 8
in himself  ^ 8
his house,  ^ 8
saying unto me,  ^ 8
they came unto  ^ 8
of the jews.  ^ 8
and he was  ^ 8
the prophets  ^ 8
saw the  ^ 8
and as many as  ^ 8
and elders  ^ 8
for moses  ^ 8
and elders,  ^ 8
saying, these  ^ 8
prison, and  ^ 8
there was a great  ^ 8
i do  ^ 8
many of  ^ 8
immediately the  ^ 8
others said,  ^ 8
i must  ^ 8
the prophet  ^ 8
days, saith  ^ 8
elders of the  ^ 8
the first day  ^ 8
among whom  ^ 8
his face  ^ 8
the soldiers  ^ 8
saw him  ^ 8
this word,  ^ 8
