Phrase ^ Count
and the lord spoke unto moses, saying,  ^ 72
fruit is hewn down, and cast into  ^ 3
is hewn down, and cast into the fire.  ^ 3
unto him, if thou be the son of god,  ^ 3
and jesus answered and said unto him,  ^ 3
if thou wilt, thou canst make me clean. and  ^ 3
thyself to the priest, and offer  ^ 3
moses commanded, for a testimony unto them.  ^ 3
and walk? but that ye may know  ^ 3
walk? but that ye may know that  ^ 3
but that ye may know that the  ^ 3
that ye may know that the son  ^ 3
ye may know that the son of man  ^ 3
that the son of man hath  ^ 3
the son of man hath power  ^ 3
and jesus answering said unto  ^ 3
to call the righteous, but sinners to  ^ 3
the righteous, but sinners to repentance.  ^ 3
the bridegroom is with them?  ^ 3
but the days will come, when the  ^ 3
the days will come, when the bridegroom  ^ 3
what thank have ye? for  ^ 3
thank have ye? for sinners  ^ 3
have ye? for sinners also  ^ 3
mote that is in thy brother's  ^ 3
the son of man is lord  ^ 3
behold, i send my messenger  ^ 3
i send my messenger before  ^ 3
send my messenger before thy  ^ 3
my messenger before thy face,  ^ 3
messenger before thy face, which  ^ 3
before thy face, which shall prepare  ^ 3
thy face, which shall prepare thy  ^ 3
face, which shall prepare thy way  ^ 3
which shall prepare thy way before  ^ 3
shall prepare thy way before thee.  ^ 3
thy mother and thy brethren  ^ 3
ran violently down a steep place into the  ^ 3
he charged them that they should tell no man  ^ 3
unto them, but whom say ye  ^ 3
but whom say ye that i  ^ 3
come after me, let him deny himself,  ^ 3
after me, let him deny himself, and  ^ 3
me, let him deny himself, and take up  ^ 3
let him deny himself, and take up his  ^ 3
and follow me. for whosoever  ^ 3
follow me. for whosoever will  ^ 3
me. for whosoever will save  ^ 3
for whosoever will save his  ^ 3
whosoever will save his life  ^ 3
will save his life shall lose  ^ 3
the whole world, and lose  ^ 3
here, which shall not taste of death,  ^ 3
which shall not taste of death, till  ^ 3
it is good for us to be here:  ^ 3
three tabernacles; one for thee, and  ^ 3
tabernacles; one for thee, and one  ^ 3
one for thee, and one for moses,  ^ 3
for thee, and one for moses, and  ^ 3
and one for moses, and one  ^ 3
saying, this is my beloved  ^ 3
the son of zebedee, and john his  ^ 3
mary magdalene, and mary the  ^ 3
and when he was come into the  ^ 3
better for thee to enter into life  ^ 3
and the fire is not quenched.  ^ 3
where their worm dieth not,  ^ 3
their worm dieth not, and  ^ 3
worm dieth not, and the  ^ 3
dieth not, and the fire  ^ 3
not, and the fire is not  ^ 3
 jesus answered and said unto them,  ^ 3
by isaiah the prophet, saying,  ^ 3
it might be fulfilled which was spoken by the prophet,  ^ 3
again, the kingdom of heaven is  ^ 3
enter into the kingdom of heaven.  ^ 3
the young child and his mother,  ^ 3
young child and his mother, and  ^ 3
shall also the coming of the son  ^ 3
the coming of the son of man  ^ 3
coming of the son of man be.  ^ 3
but i say unto you, that  ^ 3
i say unto you, that whosoever  ^ 3
verily i say unto you, they have their  ^ 3
i say unto you, they have their reward.  ^ 3
unto you, they have their reward. but  ^ 3
and the lord spoke unto moses in the wilderness  ^ 3
spoke unto moses in the wilderness of sinai,  ^ 3
of moab by jordan near jericho, saying,  ^ 3
in the plains of moab by jordan near jericho.  ^ 3
tenth deals of flour for a meat offering, mingled with oil,  ^ 3
ye shall have a holy convocation; ye shall do no  ^ 3
and their meat offering shall be of flour mingled with oil, three  ^ 3
shall be of flour mingled with oil, three tenth deals  ^ 3
and one kid of the goats for a sin offering; beside  ^ 3
kid of the goats for a sin offering; beside the continual  ^ 3
of the goats for a sin offering; beside the continual burnt offering,  ^ 3
for a sin offering; beside the continual burnt offering, and his meat offering,  ^ 3
beside the continual burnt offering, and his meat offering, and his drink offering.  ^ 3
and fourteen lambs of the first year without blemish:  ^ 3
lambs of the first year without blemish: and their meat offering  ^ 3
of all the males, from a month old and upward,  ^ 3
of israel, and say unto them, when ye  ^ 3
fifty years old, every one that entereth  ^ 3
years old, every one that entereth into the service,  ^ 3
old, every one that entereth into the service, for the work  ^ 3
every one that entereth into the service, for the work in the tabernacle  ^ 3
his offering was one silver charger of the weight  ^ 3
was one silver charger of the weight of a hundred  ^ 3
silver charger of the weight of a hundred and thirty  ^ 3
praise ye the lord. o give thanks unto the lord; for  ^ 3
ye the lord. o give thanks unto the lord; for he is good:  ^ 3
o give thanks unto the lord; for he is good: for  ^ 3
unto the lord; for he is good: for his mercy  ^ 3
that doeth good, no, not one.  ^ 3
for the word of god, and  ^ 3
having seven heads and ten  ^ 3
written in the book of life  ^ 3
of the wine of the wrath  ^ 3
seven angels which had the seven  ^ 3
and the kings of the earth,  ^ 3
the spirit saith unto the churches;  ^ 3
spirit saith unto the churches. and  ^ 3
beast say, come and see.  ^ 3
say, come and see. and  ^ 3
through jesus christ our lord.  ^ 3
that the lord of hosts hath sent me unto  ^ 3
and the sons of raamah; sheba, and dedan. and cush  ^ 2
of raamah; sheba, and dedan. and cush begot  ^ 2
sheba, and dedan. and cush begot nimrod:  ^ 2
and dedan. and cush begot nimrod: he  ^ 2
and cush begot nimrod: he began  ^ 2
begot nimrod: he began to be  ^ 2
and mizraim begot ludim, and anamim, and lehabim,  ^ 2
begot ludim, and anamim, and lehabim, and naphtuhim,  ^ 2
ludim, and anamim, and lehabim, and naphtuhim, and pathrusim,  ^ 2
and anamim, and lehabim, and naphtuhim, and pathrusim, and casluhim,  ^ 2
and the hivite, and the arkite, and the sinite, and the arvadite, and the zemarite,  ^ 2
of shem; elam, and asshur, and arphaxad, and lud,  ^ 2
begot eber. and unto eber were born two  ^ 2
eber. and unto eber were born two sons:  ^ 2
and unto eber were born two sons: the name  ^ 2
and his brother's name was joktan. and joktan begot  ^ 2
name was joktan. and joktan begot almodad,  ^ 2
was joktan. and joktan begot almodad, and sheleph,  ^ 2
and joktan begot almodad, and sheleph, and hazarmaveth,  ^ 2
begot almodad, and sheleph, and hazarmaveth, and jerah,  ^ 2
zimran, and jokshan, and medan, and midian, and ishbak,  ^ 2
and jokshan, and medan, and midian, and ishbak, and shuah.  ^ 2
lotan, and shobal, and zibeon, and anah, and dishon,  ^ 2
and shobal, and zibeon, and anah, and dishon, and ezer,  ^ 2
the son of zerah of bozrah reigned in his stead.  ^ 2
midian in the field of moab, reigned in his stead:  ^ 2
in the field of moab, reigned in his stead: and the name  ^ 2
of moab, reigned in his stead: and the name of his city  ^ 2
reigned in his stead: and the name of his city was avith.  ^ 2
the sons of japheth; gomer, and magog, and madai,  ^ 2
of japheth; gomer, and magog, and madai, and javan,  ^ 2
gomer, and magog, and madai, and javan, and tubal,  ^ 2
and magog, and madai, and javan, and tubal, and meshech,  ^ 2
and madai, and javan, and tubal, and meshech, and tiras.  ^ 2
and his wife's name was mehetabel, the daughter of matred,  ^ 2
name was mehetabel, the daughter of matred, the daughter  ^ 2
was mehetabel, the daughter of matred, the daughter of mezahab.  ^ 2
duke jetheth, duke aholibamah, duke  ^ 2
jetheth, duke aholibamah, duke elah,  ^ 2
duke aholibamah, duke elah, duke  ^ 2
aholibamah, duke elah, duke pinon,  ^ 2
duke elah, duke pinon, duke  ^ 2
elah, duke pinon, duke kenaz,  ^ 2
duke pinon, duke kenaz, duke  ^ 2
pinon, duke kenaz, duke teman,  ^ 2
duke kenaz, duke teman, duke  ^ 2
kenaz, duke teman, duke mibzar,  ^ 2
duke teman, duke mibzar, duke  ^ 2
teman, duke mibzar, duke magdiel,  ^ 2
duke mibzar, duke magdiel, duke  ^ 2
and javan, and tubal, and meshech, and tiras. and the sons  ^ 2
and tubal, and meshech, and tiras. and the sons of gomer;  ^ 2
and riphath, and togarmah. and the sons of javan; elishah,  ^ 2
and togarmah. and the sons of javan; elishah, and tarshish,  ^ 2
and the sons of javan; elishah, and tarshish, kittim,  ^ 2
of javan; elishah, and tarshish, kittim, and dodanim.  ^ 2
and canaan. and the sons of cush; seba, and havilah,  ^ 2
fled from before the philistines, and fell down slain  ^ 2
from before the philistines, and fell down slain in mount  ^ 2
the philistines, and fell down slain in mount gilboa.  ^ 2
and the men of israel fled from before the philistines,  ^ 2
of israel fled from before the philistines, and fell down  ^ 2
and fell down slain in mount gilboa. and the philistines  ^ 2
and the philistines slew jonathan, and abinadab, and malchi-shua,  ^ 2
and the battle went sore against saul, and the archers  ^ 2
went sore against saul, and the archers hit  ^ 2
thy sword, and thrust me through therewith; lest these uncircumcised  ^ 2
and thrust me through therewith; lest these uncircumcised come  ^ 2
and abuse me. but his armorbearer would not; for  ^ 2
draw thy sword, and thrust me through therewith; lest these  ^ 2
took a sword, and fell upon and when his armorbearer  ^ 2
a sword, and fell upon and when his armorbearer saw  ^ 2
and fell upon and when his armorbearer saw that  ^ 2
upon and when his armorbearer saw that saul  ^ 2
and when his armorbearer saw that saul was dead,  ^ 2
saw that saul was dead, he  ^ 2
that saul was dead, he fell  ^ 2
saul was dead, he fell likewise  ^ 2
when the philistines came to strip the slain, that they found  ^ 2
came to strip the slain, that they found saul  ^ 2
saying, behold, we are thy bone and thy flesh.  ^ 2
and david longed, and said, oh that one would give me drink  ^ 2
longed, and said, oh that one would give me drink of the water  ^ 2
and said, oh that one would give me drink of the water of the well  ^ 2
oh that one would give me drink of the water of the well of bethlehem,  ^ 2
water out of the well of bethlehem, that was by the gate,  ^ 2
out of the well of bethlehem, that was by the gate, and took  ^ 2
of bethlehem, that was by the gate, and took it , and brought  ^ 2
that was by the gate, and took it , and brought it to  ^ 2
was by the gate, and took it , and brought it to david:  ^ 2
broke through the host of the philistines, and drew water  ^ 2
the host of the philistines, and drew water out of the well  ^ 2
of the philistines, and drew water out of the well of bethlehem,  ^ 2
and drew water out of the well of bethlehem, that  ^ 2
not drink it. these things did these three  ^ 2
shalt feed my people israel, and thou shalt be  ^ 2
he slew two lionlike men of moab:  ^ 2
to him with a staff, and plucked the spear out of the egyptian's hand,  ^ 2
him with a staff, and plucked the spear out of the egyptian's hand, and slew  ^ 2
and plucked the spear out of the egyptian's hand, and slew him with his own spear.  ^ 2
the spear out of the egyptian's hand, and slew him with his own spear. these  ^ 2
out of the egyptian's hand, and slew him with his own spear. these things did  ^ 2
and slew him with his own spear. these things did benaiah  ^ 2
him with his own spear. these things did benaiah the son  ^ 2
these things did benaiah the son of jehoiada,  ^ 2
things did benaiah the son of jehoiada, and had the name  ^ 2
ira the son of ikkesh the tekoite, abiezer  ^ 2
and david was displeased, because the lord had made  ^ 2
was displeased, because the lord had made a breach  ^ 2
to this day. and david was afraid  ^ 2
king of tyre sent messengers to  ^ 2
of tyre sent messengers to david,  ^ 2
and spread themselves in the valley of rephaim. and david inquired  ^ 2
and mattithiah, and elipheleh, and mikneiah, and obed-edom, and jeiel,  ^ 2
ye of all his wondrous works. glory ye in his holy name:  ^ 2
his wondrous works. glory ye in his holy name: let the heart  ^ 2
glory ye in his holy name: let the heart of them rejoice  ^ 2
ye in his holy name: let the heart of them rejoice that seek  ^ 2
name: let the heart of them rejoice that seek the lord.  ^ 2
let the heart of them rejoice that seek the lord. seek  ^ 2
saying, unto thee will i give the land of canaan, the lot  ^ 2
to another people; he suffered no  ^ 2
another people; he suffered no man  ^ 2
people; he suffered no man to do them wrong:  ^ 2
he suffered no man to do them wrong: yea, he reproved  ^ 2
no man to do them wrong: yea, he reproved kings  ^ 2
above all gods. for all  ^ 2
all gods. for all the gods  ^ 2
of the people, give unto the lord glory and strength.  ^ 2
and strength. give unto the lord the glory due unto his name:  ^ 2
give unto the lord the glory due unto his name: bring  ^ 2
unto the lord the glory due unto his name: bring an offering,  ^ 2
the glory due unto his name: bring an offering, and come  ^ 2
in thy praise. blessed be the lord god of israel  ^ 2
make known his deeds among the people. sing unto him, sing psalms  ^ 2
that i commanded judges to be over my people  ^ 2
forever. i will be his father, and he  ^ 2
i will be his father, and he shall be  ^ 2
vision, so did nathan speak unto  ^ 2
so did nathan speak unto david.  ^ 2
according to all these words, and according to all this  ^ 2
