Phrase ^ Count
thus saith the lord  ^ 223
in the wilderness  ^ 5
that this is  ^ 5
and go into  ^ 5
the earth; and  ^ 5
returned unto me, saith  ^ 5
the lord, the god of hosts,  ^ 5
seest thou? and i said,  ^ 5
on the earth.  ^ 5
land which the lord  ^ 5
part nor inheritance with  ^ 5
ye go to possess  ^ 5
out of the way which  ^ 5
other gods, which  ^ 5
that floweth with milk and honey.  ^ 5
all that i  ^ 5
in the place which the lord  ^ 5
before the lord thy god  ^ 5
the lord thy god hath blessed  ^ 5
the lord thy god hath given  ^ 5
unto the voice of the lord thy god,  ^ 5
the words of this law  ^ 5
other gods to serve  ^ 5
the words of this covenant,  ^ 5
heaven and earth  ^ 5
unto aaron, take  ^ 5
spoke unto aaron,  ^ 5
all these words,  ^ 5
the staves of shittim wood,  ^ 5
two sockets under  ^ 5
sockets under one  ^ 5
and two sockets under  ^ 5
sockets under another  ^ 5
and the fat that is upon  ^ 5
the tip of the right ear  ^ 5
the blood upon the altar  ^ 5
three days' journey  ^ 5
now i have found grace  ^ 5
moses, so did  ^ 5
then the lord said unto  ^ 5
unto them; as the lord  ^ 5
that i am the lord:  ^ 5
i am the lord god.  ^ 5
to the children of israel,  ^ 5
son of man, speak  ^ 5
also, thou son of man,  ^ 5
have spoken it , saith the lord  ^ 5
day of the month, that the word of the lord  ^ 5
fifty and four. the children  ^ 5
fifty and two. the children  ^ 5
zerubbabel the son of shealtiel,  ^ 5
in the book  ^ 5
and it was so. and god  ^ 5
saw that it was good.  ^ 5
day. and god said,  ^ 5
creeping thing that creepeth upon  ^ 5
said unto his father,  ^ 5
and she conceived again, and bore  ^ 5
said unto them, if  ^ 5
the son of josedech, the high  ^ 5
saying, thus speaketh  ^ 5
speaketh the lord of hosts,  ^ 5
for the law  ^ 5
in heaven, and  ^ 5
and honor, and  ^ 5
the lord god of hosts,  ^ 5
for all this his anger  ^ 5
this his anger is not  ^ 5
his anger is not turned away,  ^ 5
is not turned away, but his hand  ^ 5
turned away, but his hand is stretched out  ^ 5
but his hand is stretched out still.  ^ 5
for thus hath the lord  ^ 5
one of you  ^ 5
on the earth,  ^ 5
year of jehoiakim the son  ^ 5
all the words that  ^ 5
zedekiah king of judah  ^ 5
unto jeremiah, saying,  ^ 5
nebuzaradan the captain of the guard  ^ 5
and all the captains of the forces  ^ 5
in the resurrection  ^ 5
when jesus heard  ^ 5
his disciples. and  ^ 5
of his disciples,  ^ 5
verily, i say unto thee,  ^ 5
them, and said,  ^ 5
said unto him, art  ^ 5
king of the jews.  ^ 5
and his mother,  ^ 5
out of the temple,  ^ 5
and besought him  ^ 5
him into the  ^ 5
the prophets, and  ^ 5
and out of the  ^ 5
said unto them, why  ^ 5
i say unto you, whosoever  ^ 5
in the house  ^ 5
and the woman  ^ 5
joshua the son of nun,  ^ 5
according to the commandment of the lord  ^ 5
cities with their villages. this  ^ 5
with their villages. this is the inheritance  ^ 5
to be a city of refuge  ^ 5
a city of refuge for the slayer;  ^ 5
four cities. and out of the tribe  ^ 5
and gideon said unto  ^ 5
said unto gideon,  ^ 5
an offering made by fire, of a sweet savor  ^ 5
his clothes, and be unclean until  ^ 5
either in the warp, or  ^ 5
and upon the thumb of his right  ^ 5
the thumb of his right hand,  ^ 5
of his right hand, and upon  ^ 5
and upon the great toe of his right  ^ 5
moses. and the lord spoke  ^ 5
of israel, or of the strangers  ^ 5
am the lord your god, which  ^ 5
a holy convocation; ye shall do  ^ 5
convocation; ye shall do no  ^ 5
moses, saying, command  ^ 5
saying, command the children  ^ 5
command the children of israel,  ^ 5
the liver, with the kidneys,  ^ 5
the inwards, and the two kidneys,  ^ 5
them, which is by the flanks,  ^ 5
is by the flanks, and the caul  ^ 5
and all the fat that  ^ 5
in all the  ^ 5
the lord of the  ^ 5
and it came to pass, as he  ^ 5
the synagogues, and  ^ 5
of the leaven  ^ 5
and, behold, there was  ^ 5
the fowls of the  ^ 5
answering said unto them,  ^ 5
there shall be weeping  ^ 5
shall be weeping and  ^ 5
weeping and gnashing  ^ 5
thou son of david, have mercy  ^ 5
him, saying, what  ^ 5
jesus said unto  ^ 5
of him. and  ^ 5
saying, this is  ^ 5
they asked him, saying,  ^ 5
beware of the  ^ 5
you by what  ^ 5
what authority i do  ^ 5
authority i do these things.  ^ 5
one of the twelve,  ^ 5
with swords and  ^ 5
thou shalt deny me thrice.  ^ 5
thou be the son of god,  ^ 5
and followed him. and  ^ 5
and great multitudes  ^ 5
son of man hath  ^ 5
into the ship,  ^ 5
into the house,  ^ 5
and some fell  ^ 5
to hear, let him hear. and  ^ 5
the whole world,  ^ 5
and cried with a loud  ^ 5
into the coasts  ^ 5
for verily i say  ^ 5
of the pharisees and  ^ 5
 he answered  ^ 5
and see. and  ^ 5
it is better for thee  ^ 5
better for thee to enter  ^ 5
the ruler of the half part  ^ 5
and he took up his parable, and said,  ^ 5
in the plains of moab by  ^ 5
two rams, and fourteen  ^ 5
rams, and fourteen lambs  ^ 5
and fourteen lambs of the first  ^ 5
and their meat offering and their drink offerings for the bullocks,  ^ 5
after the manner: and one goat  ^ 5
and one goat for a sin offering;  ^ 5
goat for a sin offering; beside  ^ 5
of their fathers, from thirty years  ^ 5
fifty years old,  ^ 5
old and upward even unto  ^ 5
and upward even unto fifty  ^ 5
even unto fifty years  ^ 5
praise ye the lord. o give thanks  ^ 5
upon the earth.  ^ 5
the earth: and  ^ 5
the four beasts  ^ 5
and the kings  ^ 5
unto the angel of the  ^ 5
glory and honor  ^ 5
and when he had opened  ^ 5
the lord of hosts hath sent  ^ 5
reigned in his stead: and the name  ^ 4
in his stead: and the name of his city  ^ 4
benaiah the son of jehoiada,  ^ 4
david king over  ^ 4
over all israel:  ^ 4
king over all  ^ 4
seven bullocks and seven  ^ 4
above all gods.  ^ 4
before the ark of the covenant  ^ 4
before the lord, and said,  ^ 4
saying, go and tell  ^ 4
since the day that  ^ 4
david, thus saith  ^ 4
preserved david whithersoever  ^ 4
david whithersoever he went.  ^ 4
two and twenty thousand  ^ 4
and when the children of ammon saw  ^ 4
of ammon saw that  ^ 4
no sons, but  ^ 4
to wife; and she bore him  ^ 4
and said unto him, thus saith  ^ 4
nadab, and abihu, eleazar,  ^ 4
as the lord god  ^ 4
and the half tribe of manasseh,  ^ 4
for the lord hath chosen  ^ 4
to sit upon the throne  ^ 4
and last, behold, they are written  ^ 4
of hezekiah king of judah,  ^ 4
thousand seven hundred  ^ 4
the son of jeroham, the son  ^ 4
the son of hilkiah, the son  ^ 4
of gilead, the son of machir,  ^ 4
the son of machir, the son  ^ 4
heads of the house of their fathers,  ^ 4
twenty and two thousand  ^ 4
the book of the kings of israel  ^ 4
the will of god, and  ^ 4
the name of our  ^ 4
name of our lord  ^ 4
father, and from the lord  ^ 4
and from the lord jesus  ^ 4
from the lord jesus christ.  ^ 4
the coming of our  ^ 4
lord jesus christ:  ^ 4
but of the  ^ 4
not for the  ^ 4
of the lord  ^ 4
among you, and  ^ 4
and have not  ^ 4
that god is  ^ 4
the glory of the  ^ 4
the image of the  ^ 4
unto me: for  ^ 4
unto you with  ^ 4
with a holy kiss.  ^ 4
all the brethren  ^ 4
and the fire  ^ 4
who is my  ^ 4
and ye are  ^ 4
is not in  ^ 4
with him, and  ^ 4
in him. but  ^ 4
in you, and  ^ 4
the world. and  ^ 4
the will of god  ^ 4
and he is  ^ 4
the truth, but  ^ 4
the father and  ^ 4
father and the  ^ 4
not that any man  ^ 4
in him. and  ^ 4
we know that  ^ 4
and ye know that  ^ 4
the love of god  ^ 4
in him, and  ^ 4
him, and he  ^ 4
the love of god,  ^ 4
shall reign after me, and he  ^ 4
after me, and he shall sit  ^ 4
me, and he shall sit upon  ^ 4
god of israel, which  ^ 4
and all the men of judah  ^ 4
was six hundred  ^ 4
went to one  ^ 4
over all israel  ^ 4
which the lord spoke  ^ 4
before and he said unto  ^ 4
and he said unto them, what  ^ 4
and told him all  ^ 4
bread nor drink  ^ 4
the lord thy god commanded  ^ 4
bread, nor drink  ^ 4
king of egypt came up  ^ 4
of the lord, and the treasures of the king's  ^ 4
his fathers in the city of david.  ^ 4
years reigned he in jerusalem.  ^ 4
king of judah, and reigned  ^ 4
and he did evil in the sight  ^ 4
liveth, before whom  ^ 4
before whom i stand,  ^ 4
came unto him, saying,  ^ 4
may know that thou  ^ 4
and the hand of the lord was  ^ 4
god do so  ^ 4
king of israel, saying,  ^ 4
came to the king  ^ 4
to the king of israel,  ^ 4
and said, thus saith  ^ 4
whom the lord cast out  ^ 4
and all the prophets prophesied  ^ 4
and jehoshaphat the king of judah  ^ 4
ramoth-gilead to battle, or  ^ 4
said unto him, how  ^ 4
a lying spirit in the mouth  ^ 4
that it was not  ^ 4
twenty and five years  ^ 4
for he had heard that  ^ 4
as the lord spoke  ^ 4
unto david my father,  ^ 4
of the children of israel, unto  ^ 4
could not stand  ^ 4
and he said, blessed be the lord  ^ 4
for the name of the lord god  ^ 4
which he made with  ^ 4
with thy servant david my father  ^ 4
there shall not fail thee a man  ^ 4
house: then hear thou  ^ 4
the land which thou gavest  ^ 4
and all the children of israel  ^ 4
before the lord our god,  ^ 4
according to all that i have commanded  ^ 4
which i have set before  ^ 4
hath the lord done thus  ^ 4
done thus unto this  ^ 4
upon them all  ^ 4
and the glory  ^ 4
from the dead, and  ^ 4
god and father  ^ 4
father of our lord  ^ 4
and honor and  ^ 4
which the builders  ^ 4
the stone which the  ^ 4
the will of the  ^ 4
but the end  ^ 4
a son, and called his name  ^ 4
of god came upon  ^ 4
all the tribes of israel  ^ 4
to all the people,  ^ 4
this day, that  ^ 4
said to saul,  ^ 4
of the lord. thus saith  ^ 4
the way which the lord  ^ 4
servants said unto  ^ 4
of god was upon  ^ 4
before the lord: for  ^ 4
at the door of the tabernacle of the congregation.  ^ 4
to the place where  ^ 4
and the men that were with  ^ 4
men that were with  ^ 4
and the lord said to  ^ 4
and the children of israel said  ^ 4
cried unto the lord  ^ 4
all the words of the lord  ^ 4
god the father and  ^ 4
from the wrath  ^ 4
word of the lord  ^ 4
the lord jesus,  ^ 4
night and day,  ^ 4
unto you. and  ^ 4
for all the  ^ 4
we beseech you, brethren,  ^ 4
be with you. amen.  ^ 4
all. amen. paul,  ^ 4
and peace, from god  ^ 4
mercy, and peace, from  ^ 4
two or three  ^ 4
but in the  ^ 4
the son of uri, the son  ^ 4
of uri, the son of hur,  ^ 4
to seek the lord god  ^ 4
the lord god of their fathers.  ^ 4
the book of the kings of judah  ^ 4
the king said unto  ^ 4
hear the word of the lord;  ^ 4
to work in gold, and in silver,  ^ 4
thousand and three thousand  ^ 4
thousand and six hundred  ^ 4
the son of zechariah, the son  ^ 4
judah and the inhabitants of jerusalem  ^ 4
in the way of the kings of israel,  ^ 4
and two years old  ^ 4
the son of jehoram king  ^ 4
of jehoram king of judah  ^ 4
made a covenant with  ^ 4
was twenty and five years  ^ 4
of joash king of judah  ^ 4
the vessels of the house of god,  ^ 4
of the lord was upon  ^ 4
of israel. and the lord spoke  ^ 4
of the heathen, whom the lord  ^ 4
in the sight of the lord, to provoke him to anger.  ^ 4
the money that was brought into the house  ^ 4
in this book.  ^ 4
i will bring upon  ^ 4
all the words of the book  ^ 4
not unto the words  ^ 4
eleven years in jerusalem.  ^ 4
and he reigned eleven years  ^ 4
of god. then said  ^ 4
all the congregation of israel,  ^ 4
then hear thou from  ^ 4
all this evil  ^ 4
all the saints  ^ 4
christ by the will  ^ 4
in christ, and  ^ 4
with you, and  ^ 4
me: for i  ^ 4
for the glory  ^ 4
the glory of his  ^ 4
with fear and  ^ 4
and before the  ^ 4
to the lord, and  ^ 4
with me, and  ^ 4
not in the  ^ 4
his fathers in the city of david:  ^ 4
over israel in samaria,  ^ 4
that which was evil in the sight of the lord:  ^ 4
in the sight of the lord: he departed  ^ 4
of the lord: he departed not  ^ 4
year of azariah king  ^ 4
of azariah king of judah  ^ 4
years old was  ^ 4
and all that  ^ 4
into the hand of the king of assyria.  ^ 4
hezekiah, saying, thus  ^ 4
that the lord hath spoken  ^ 4
into this city,  ^ 4
and as thy soul liveth, i will not  ^ 4
liveth, i will not leave  ^ 4
and said unto him, what  ^ 4
at the commandment of the lord  ^ 4
month, in the tenth day of the month,  ^ 4
that were with  ^ 4
fear not: for  ^ 4
of the lord; thus saith  ^ 4
me, saying, thus saith  ^ 4
beloved son, in  ^ 4
son, in whom  ^ 4
from god the father  ^ 4
by the holy  ^ 4
it is written in the book  ^ 4
and it came to pass on the seventh day,  ^ 4
unto the king, behold,  ^ 4
throughout all the tribes of israel,  ^ 4
the people that are with  ^ 4
and he called the name of the place  ^ 4
father and the lord  ^ 4
you in the  ^ 4
christ be with you  ^ 4
and found the  ^ 4
be glory forever and ever. amen.  ^ 4
and james, and  ^ 4
james, and john,  ^ 4
and mary the  ^ 4
and in those  ^ 4
the baptism of john,  ^ 4
god with all  ^ 4
of the holy ghost.  ^ 4
and the apostles  ^ 4
the apostles and  ^ 4
and some of  ^ 4
the church, and  ^ 4
from him. and  ^ 4
they said unto  ^ 4
follow me. and  ^ 4
in the church  ^ 4
went into the  ^ 4
unto them, saying,  ^ 4
to all the people  ^ 4
thou art my  ^ 4
but the jews  ^ 4
filled with the holy ghost,  ^ 4
earth, and the  ^ 4
and the sea,  ^ 4
the jews, and  ^ 4
the multitude of the  ^ 4
among the gentiles  ^ 4
and on the  ^ 4
not far from  ^ 4
said unto the  ^ 4
the way of god  ^ 4
from them, and  ^ 4
and the name  ^ 4
sent unto him,  ^ 4
and on my  ^ 4
lord, sit thou on  ^ 4
sit thou on my  ^ 4
thou on my right hand,  ^ 4
peter said unto  ^ 4
the same day  ^ 4
from the first day  ^ 4
first day of the week,  ^ 4
the ship. and  ^ 4
the ship was  ^ 4
into the wilderness  ^ 4
said, i am  ^ 4
stood on the  ^ 4
lord said unto  ^ 4
the god of our  ^ 4
this man is  ^ 4
him: and the  ^ 4
after three days  ^ 4
then the high priest  ^ 4
in the way  ^ 4
with me. and  ^ 4
and could not  ^ 4
for there shall be no  ^ 4
out of the ship,  ^ 4
by isaiah the  ^ 4
and their eyes  ^ 4
peter and john  ^ 4
them in the  ^ 4
the god of abraham,  ^ 4
and his name  ^ 4
of the temple, and  ^ 4
chief priests and elders  ^ 4
and the number  ^ 4
and scribes, and  ^ 4
his feet, and  ^ 4
of the children of israel,  ^ 4
the door, and  ^ 4
among the people.  ^ 4
over all the  ^ 4
when the time  ^ 4
to him in the  ^ 4
of abraham, and the  ^ 4
the god of isaac,  ^ 4
god of isaac, and  ^ 4
of isaac, and the  ^ 4
and he commanded the  ^ 4
lord said unto him,  ^ 4
from the chief priests  ^ 4
day and night  ^ 4
then the disciples  ^ 4
in the way,  ^ 4
the way, and  ^ 4
it came to pass in those  ^ 4
go into the  ^ 4
the lord god. thus  ^ 4
god. thus saith  ^ 4
yet have ye not returned unto  ^ 4
for, behold, the lord  ^ 4
what seest thou?  ^ 4
for, lo, i  ^ 4
by him, and  ^ 4
in heaven. and  ^ 4
for you, and  ^ 4
that i speak  ^ 4
this word unto  ^ 4
the sound of the cornet, flute,  ^ 4
of the cornet, flute, harp,  ^ 4
flute, harp, sackbut,  ^ 4
harp, sackbut, psaltery,  ^ 4
and all kinds of music,  ^ 4
when all the people  ^ 4
people, nations, and languages,  ^ 4
a voice from heaven,  ^ 4
which the lord our god  ^ 4
the lord god of thy fathers  ^ 4
spoke unto the children  ^ 4
that the lord our god  ^ 4
and possess the land which  ^ 4
the lord thy god with all  ^ 4
ye were strangers in the land  ^ 4
whither ye go  ^ 4
i command you this day,  ^ 4
the good land which  ^ 4
all these commandments  ^ 4
the land whither thou  ^ 4
the lord your god giveth  ^ 4
the land, which the lord  ^ 4
that i command  ^ 4
thy god in the place which  ^ 4
the lord thy god hath chosen  ^ 4
upon the altar of the lord  ^ 4
that thou wast a bondman  ^ 4
the lord thy god hath commanded  ^ 4
not hearken unto  ^ 4
amen. cursed be he that lieth  ^ 4
cursed be he that lieth with  ^ 4
the lord your god hath given  ^ 4
king of the amorites, which  ^ 4
that the lord your god  ^ 4
with all thine heart, and with all  ^ 4
unto moses, behold,  ^ 4
them into the land which  ^ 4
which bore the ark of the covenant  ^ 4
the land which i  ^ 4
and the statutes, and the judgments, which  ^ 4
of og king of bashan,  ^ 4
the bank of the river arnon,  ^ 4
i am the lord thy god,  ^ 4
the iniquity of the fathers upon  ^ 4
which the lord had commanded  ^ 4
is vanity and vexation of spirit.  ^ 4
this is also vanity.  ^ 4
the dead, and  ^ 4
and mother, and  ^ 4
month, which is the month  ^ 4
nebuchadnezzar the king of babylon  ^ 4
whom the king delighteth  ^ 4
said unto pharaoh,  ^ 4
jewels of silver, and jewels  ^ 4
all the firstborn in the land  ^ 4
said unto moses  ^ 4
the children of israel out of the land  ^ 4
and all the congregation of the children  ^ 4
and, behold, the glory of the lord  ^ 4
which the lord hath commanded,  ^ 4
and aaron said unto  ^ 4
unto all the children  ^ 4
all the words of the lord,  ^ 4
of shittim wood: two cubits  ^ 4
of shittim wood, and overlay  ^ 4
the children of israel, that they bring  ^ 4
branches of the same, and a knop  ^ 4
of the same, and a knop under  ^ 4
the same, and a knop under two  ^ 4
and blue, and purple, and scarlet,  ^ 4
the length of one curtain  ^ 4
side of the tabernacle, and five  ^ 4
of the tabernacle, and five bars  ^ 4
and five bars for the boards  ^ 4
on the side of the tabernacle  ^ 4
three, and their sockets three.  ^ 4
shall put their hands upon  ^ 4
the fat that covereth the inwards,  ^ 4
upon the head of the ram.  ^ 4
upon the altar round about.  ^ 4
into the tabernacle of the congregation,  ^ 4
of israel, saying, this  ^ 4
unto moses, say  ^ 4
moses, say unto  ^ 4
if now i have found  ^ 4
and every wise hearted  ^ 4
blue, and purple, and scarlet,  ^ 4
of shittim wood, and overlaid  ^ 4
