Phrase ^ Count
thus saith the lord god;  ^ 95
said unto the people, fear  ^ 3
of the lord. thus saith the lord  ^ 3
israel. and the lord said unto  ^ 3
and samuel said unto jesse,  ^ 3
and the spirit of the lord came upon  ^ 3
and it was told saul that david  ^ 3
and david said to abishai,  ^ 3
hundred men that were with  ^ 3
of judah unto this day.  ^ 3
eli, and said, here am i; for  ^ 3
unto the lord. and the lord said  ^ 3
be with you. amen. paul,  ^ 3
the lord jesus, and  ^ 3
grace, mercy, and peace, from  ^ 3
bezaleel the son of uri, the son  ^ 3
in the book of the kings of judah  ^ 3
the book of the kings of judah and israel.  ^ 3
to work in gold, and in silver, and in brass,  ^ 3
and all the people of the land rejoiced,  ^ 3
twenty and nine years in jerusalem.  ^ 3
son of jehoahaz king of israel  ^ 3
the son of joash king of judah  ^ 3
the hills, and under every green  ^ 3
that which was evil in the sight of the lord, as  ^ 3
and worshiped all the host of heaven,  ^ 3
all the host of heaven, and served  ^ 3
was eight years old when he began to reign,  ^ 3
upon this place, and upon  ^ 3
this place, and upon the inhabitants  ^ 3
saith the lord, behold, i will bring  ^ 3
the lord, behold, i will bring evil  ^ 3
i will bring evil upon this  ^ 3
evil upon this place,  ^ 3
unto him, thus saith the lord  ^ 3
saith the lord god of israel  ^ 3
the evil that i will bring  ^ 3
that i will bring upon  ^ 3
old when he began to reign, and he reigned eleven  ^ 3
when he began to reign, and he reigned eleven years  ^ 3
cubits long, and five cubits  ^ 3
and said, o lord god of israel,  ^ 3
house; then hear thou from  ^ 3
by the will of god, and  ^ 3
in the world, and  ^ 3
and peace from god  ^ 3
the father of our lord jesus  ^ 3
that bed on which thou art gone up, but  ^ 3
on which thou art gone up, but shalt surely die.  ^ 3
from the sins of jeroboam the son of nebat,  ^ 3
began to reign over israel in samaria,  ^ 3
in the house of the lord, and in the treasures of the king's  ^ 3
of the heathen, whom the lord cast out  ^ 3
which was over the household, and shebna  ^ 3
to hezekiah, thus saith  ^ 3
shall not be delivered into the hand of the king  ^ 3
be delivered into the hand of the king of assyria.  ^ 3
the work of men's hands, wood  ^ 3
this is the word that the lord  ^ 3
and said unto him, knowest thou that  ^ 3
the daughter of jeremiah of libnah. and he did  ^ 3
of jeremiah of libnah. and he did that which was evil  ^ 3
and he reigned eleven years in jerusalem.  ^ 3
eleven years in jerusalem. and his mother's  ^ 3
in the tenth month, in the tenth day of the month,  ^ 3
heard that the king of babylon  ^ 3
year of joram the son of ahab  ^ 3
me, saying, thus saith the lord,  ^ 3
lord and savior jesus  ^ 3
our lord jesus christ  ^ 3
and all the people that are with  ^ 3
after sheba the son of bichri.  ^ 3
from god the father and  ^ 3
to whom be glory forever and ever. amen.  ^ 3
peter, and james, and  ^ 3
and james, and john,  ^ 3
james, and john, and  ^ 3
and mary the mother  ^ 3
and in those days  ^ 3
whosoever believeth in him  ^ 3
thou art my son,  ^ 3
by the holy ghost,  ^ 3
heaven, and earth, and  ^ 3
and earth, and the  ^ 3
earth, and the sea,  ^ 3
and the sea, and  ^ 3
the apostles and elders  ^ 3
in the name of jesus  ^ 3
lord of heaven and earth,  ^ 3
and the name of the  ^ 3
they said unto him,  ^ 3
and he went into the  ^ 3
lord said unto my lord,  ^ 3
said unto my lord, sit  ^ 3
unto my lord, sit thou on  ^ 3
the first day of the week,  ^ 3
and when the seven  ^ 3
into the temple, and  ^ 3
and the lord said  ^ 3
him. and he said unto  ^ 3
saul, saul, why persecutest  ^ 3
saul, why persecutest thou me?  ^ 3
who art thou, lord? and  ^ 3
chief priests and the elders  ^ 3
and the elders of the  ^ 3
then agrippa said unto  ^ 3
into the sea. and  ^ 3
in the days of the  ^ 3
and the scribes, and  ^ 3
and said unto him,  ^ 3
the earth. and the  ^ 3
is the son of god.  ^ 3
the son of god. and  ^ 3
saith the lord god. thus  ^ 3
the lord god. thus saith  ^ 3
of israel, saith the lord god.  ^ 3
thus hath the lord god showed  ^ 3
nor worship the golden image  ^ 3
worship the golden image which  ^ 3
that the most high ruleth in the kingdom  ^ 3
the most high ruleth in the kingdom of men,  ^ 3
ruleth in the kingdom of men, and giveth  ^ 3
in the kingdom of men, and giveth it to whomsoever  ^ 3
and possess the land which the lord  ^ 3
forty days and forty nights;  ^ 3
and his statutes, which i command  ^ 3
ye were strangers in the land of egypt.  ^ 3
that were in the first  ^ 3
the land which the lord your god  ^ 3
all the commandments which i  ^ 3
the commandments which i command  ^ 3
all that i command  ^ 3
thou, and thy son, and thy daughter, and thy manservant,  ^ 3
and thy son, and thy daughter, and thy manservant, and thy maidservant,  ^ 3
the lord thy god in the place which  ^ 3
all his commandments which i  ^ 3
his commandments which i command  ^ 3
for thou art a holy people  ^ 3
thou art a holy people unto the lord  ^ 3
thy god. thou shalt not seethe a kid  ^ 3
thou shalt not seethe a kid in his mother's  ^ 3
seethe a kid in his mother's milk.  ^ 3
that the lord thy god may bless  ^ 3
the lord thy god may bless thee in all  ^ 3
and thou shalt remember that thou wast a bondman  ^ 3
which i command thee this day.  ^ 3
unto the voice of the lord thy god, to observe  ^ 3
the lord thy god giveth thou shalt not  ^ 3
the lord thy god giveth thee to possess  ^ 3
lest he die in the battle, and another  ^ 3
he die in the battle, and another man  ^ 3
which the lord commanded moses  ^ 3
have seen all that the lord  ^ 3
that i am the lord your god.  ^ 3
which the lord your god hath given  ^ 3
the lord thy god with all thine heart,  ^ 3
thy god with all thine heart, and with all  ^ 3
which the lord swore unto thy fathers,  ^ 3
ye go over jordan to possess  ^ 3
said unto moses, behold,  ^ 3
which bore the ark of the covenant of the lord,  ^ 3
the land of canaan, which i  ^ 3
of canaan, which i give  ^ 3
the land which i give  ^ 3
the iniquity of the fathers upon the children  ^ 3
of the fathers upon the children unto  ^ 3
upon the children unto the third  ^ 3
the children unto the third and fourth  ^ 3
quickly out of the way which  ^ 3
father and mother, and  ^ 3
whom nebuchadnezzar the king of babylon  ^ 3
moses. and the lord said unto  ^ 3
said unto moses, stretch out  ^ 3
unto moses, stretch out thine hand  ^ 3
saith the lord god of the hebrews,  ^ 3
all the firstborn in the land of egypt,  ^ 3
jewels of silver, and jewels of gold,  ^ 3
and the lord said unto moses  ^ 3
of israel; as the lord commanded  ^ 3
as the lord commanded moses  ^ 3
and moses said unto the people,  ^ 3
and all the congregation of the children of israel  ^ 3
of israel murmured against moses  ^ 3
and the children of israel said unto  ^ 3
as the lord commanded moses,  ^ 3
unto all the congregation of the children  ^ 3
cried unto the lord, saying,  ^ 3
the breadth thereof, and a cubit and a half the height  ^ 3
and purple, and scarlet, and fine linen, and goats'  ^ 3
and the breadth of one curtain four  ^ 3
of one curtain four cubits:  ^ 3
cubits, and the breadth of one curtain  ^ 3
one board, and two sockets  ^ 3
board, and two sockets under  ^ 3
sockets under another board.  ^ 3
sockets under one board,  ^ 3
under one board, and two  ^ 3
of blue, and purple, and scarlet, and fine twined linen,  ^ 3
the hooks of the pillars and their fillets of silver.  ^ 3
their pillars three, and their sockets three.  ^ 3
and aaron and his sons shall put their hands  ^ 3
and his sons shall put their hands upon  ^ 3
shall put their hands upon the head  ^ 3
the inwards, and the caul above the liver, and the two  ^ 3
and the caul above the liver, and the two kidneys,  ^ 3
two lambs of the first year  ^ 3
the god of abraham, the god of isaac,  ^ 3
of abraham, the god of isaac, and the god  ^ 3
unto a land flowing with milk  ^ 3
and the angel of the lord appeared unto  ^ 3
and thou shalt speak unto the children of israel,  ^ 3
said unto moses, take  ^ 3
from his people. and the lord spoke unto  ^ 3
of uri, the son of hur, of the tribe  ^ 3
if now i have found grace  ^ 3
all the congregation of the children of israel  ^ 3
and he made the staves of shittim wood,  ^ 3
the staves of shittim wood, and overlaid  ^ 3
that the lord commanded moses.  ^ 3
hundred thousand and three thousand  ^ 3
thousand and three thousand and five  ^ 3
and three thousand and five hundred  ^ 3
the lord commanded moses. and he made  ^ 3
and the children of israel did according to all  ^ 3
of israel did according to all that  ^ 3
did according to all that the lord  ^ 3
the people, saying, thus saith  ^ 3
them; as the lord had said. and the lord  ^ 3
the lord had said. and the lord said  ^ 3
had said. and the lord said unto  ^ 3
moses, say unto aaron,  ^ 3
upon man, and upon beast,  ^ 3
thou unto them, thus saith the lord  ^ 3
moreover the word of the lord came to  ^ 3
for they are a rebellious house.  ^ 3
say unto them, thus saith  ^ 3
though they be a rebellious house.  ^ 3
came the word of the lord unto  ^ 3
the lord god. and the word of the lord  ^ 3
god. and the word of the lord came  ^ 3
me, saying, son of man, prophesy  ^ 3
son of man, prophesy against  ^ 3
wherefore thus saith the lord  ^ 3
that i am the lord. because  ^ 3
of the lord; thus saith the lord  ^ 3
saith the lord god. the word  ^ 3
the lord god. the word of the lord  ^ 3
god. the word of the lord came  ^ 3
were in it, as i live, saith  ^ 3
it, as i live, saith the lord  ^ 3
the house of israel, thus saith  ^ 3
saith the lord god. again the word  ^ 3
saith the lord god, surely  ^ 3
that i the lord have spoken  ^ 3
saith the lord god; i  ^ 3
shall know that i the lord  ^ 3
son of man, speak unto  ^ 3
me, saying, son of man, speak  ^ 3
and ye shall know that i am the lord,  ^ 3
saith the lord god. moreover the word  ^ 3
of man, set thy face toward  ^ 3
saith the lord god; in the day  ^ 3
prophesy and say, thus saith  ^ 3
day of the month, the word of the lord came  ^ 3
that i am the lord. thus  ^ 3
i am the lord. thus saith  ^ 3
am the lord. thus saith the lord  ^ 3
god. thus saith the lord  ^ 3
hear the word of the lord god;  ^ 3
the word of the lord god; thus  ^ 3
of the lord god; thus saith  ^ 3
god; thus saith the lord  ^ 3
son of man, take up a lamentation  ^ 3
moreover he said unto me, son of man,  ^ 3
that i am the lord. and it came to pass  ^ 3
ye mountains of israel, hear the word  ^ 3
of man, thus saith the lord  ^ 3
cubits, and the breadth five and twenty  ^ 3
and the breadth five and twenty cubits.  ^ 3
court; and palm trees were upon the posts  ^ 3
five hundred reeds, with the measuring  ^ 3
the son of eleazar, the son of aaron  ^ 3
the just shall live by  ^ 3
abraham believed god, and  ^ 3
saw that it was good. and god  ^ 3
hundred years, and begot sons  ^ 3
lived thirty years, and begot  ^ 3
and god said unto abraham,  ^ 3
bore a son, and called his name  ^ 3
and he called the name of that place  ^ 3
and she conceived again, and bore a son;  ^ 3
pharaoh. and pharaoh said unto  ^ 3
asenath the daughter of poti-pherah priest  ^ 3
came the word of the lord by  ^ 3
the word of the lord by haggai  ^ 3
the son of shealtiel, governor of judah,  ^ 3
speaketh the lord of hosts, saying,  ^ 3
year of darius, came the word  ^ 3
of darius, came the word of the lord  ^ 3
after those days, saith  ^ 3
today if ye will hear his  ^ 3
if ye will hear his voice,  ^ 3
ye will hear his voice, harden  ^ 3
his voice, harden not  ^ 3
voice, harden not your  ^ 3
art a priest forever after the  ^ 3
thou art a priest forever after  ^ 3
for the mouth of the lord hath spoken  ^ 3
for fear of the lord, and for the glory  ^ 3
of hosts. thus saith the lord  ^ 3
saith the lord god, behold,  ^ 3
on the earth, and  ^ 3
then said i, ah, lord god!  ^ 3
saith the lord of hosts, behold,  ^ 3
came unto me, saying, thus  ^ 3
unto me, saying, thus saith  ^ 3
came to jeremiah concerning  ^ 3
of mirth, and the voice of gladness, the voice  ^ 3
sitting upon the throne of david,  ^ 3
them, thus saith the lord of hosts;  ^ 3
all the evil that i have pronounced  ^ 3
the evil that i have pronounced against  ^ 3
the word which came unto  ^ 3
which came unto jeremiah  ^ 3
of nebuchadnezzar king of babylon, and into the hand  ^ 3
saith the lord. behold, the days  ^ 3
jeconiah the son of jehoiakim king  ^ 3
of judah, saying, thus saith  ^ 3
the lord, saying, thus saith  ^ 3
for they prophesy a lie  ^ 3
which nebuchadnezzar king of babylon  ^ 3
saith the lord of hosts; behold,  ^ 3
the word of the lord unto jeremiah,  ^ 3
of the lord unto jeremiah, saying,  ^ 3
thus saith the lord; if  ^ 3
unto baruch the son of neriah,  ^ 3
saith the lord; behold, i will give  ^ 3
behold, i will give this city  ^ 3
i will give this city into the hand  ^ 3
jeremiah, saying, thus saith  ^ 3
all these words unto  ^ 3
you all my servants the prophets,  ^ 3
the son of ahikam the son of shaphan,  ^ 3
the captains of the forces that were with  ^ 3
to the queen of heaven, and to pour out drink offerings  ^ 3
came to jeremiah the prophet  ^ 3
to jeremiah the prophet against  ^ 3
saith the king, whose name is the lord  ^ 3
shall not my soul be avenged on such  ^ 3
my soul be avenged on such a nation  ^ 3
be avenged on such a nation as this?  ^ 3
in those days, and in that time,  ^ 3
and i only am escaped alone  ^ 3
am escaped alone to tell while he  ^ 3
alone to tell while he was yet  ^ 3
to tell while he was yet speaking,  ^ 3
while he was yet speaking, there came  ^ 3
was yet speaking, there came also another,  ^ 3
speaking, there came also another, and said,  ^ 3
then answered bildad the shuhite, and said,  ^ 3
and merciful, slow to anger, and of great  ^ 3
slow to anger, and of great kindness,  ^ 3
because ye are not of  ^ 3
god. jesus answered them,  ^ 3
into the world. and  ^ 3
then said the jews,  ^ 3
that thou hast sent me.  ^ 3
thou hast sent me. and  ^ 3
in the name of the lord. and  ^ 3
his life shall lose it;  ^ 3
one of his disciples,  ^ 3
but me ye have not  ^ 3
me ye have not always.  ^ 3
then said jesus unto him,  ^ 3
whither i go, ye  ^ 3
i go, ye cannot  ^ 3
peter said unto him, lord,  ^ 3
and said unto him, if  ^ 3
not of the world,  ^ 3
again, a little while, and ye shall see  ^ 3
a little while, and ye shall not see  ^ 3
and ye shall not see me:  ^ 3
ye shall not see me: and  ^ 3
see me: and again,  ^ 3
me: and again, a little while,  ^ 3
and again, a little while, and  ^ 3
his disciples said unto him,  ^ 3
i am not of  ^ 3
from the chief priests and  ^ 3
hail, king of the jews!  ^ 3
king of the jews! and  ^ 3
the body of jesus. and  ^ 3
jesus saith unto her, woman,  ^ 3
the sepulcher, and seeth  ^ 3
thou knowest that i love  ^ 3
